setup,en_iou_mean,en_recall_mean,en_precision_mean,en_f1_mean,ko_iou_mean,ko_recall_mean,ko_precision_mean,ko_f1_mean
layer_0__mean__a2t,0.0004,0.0006,0.1421,0.1489,0.0000,0.0000,,
layer_0__max__a2t,0.0004,0.0006,0.1379,0.1465,0.0000,0.0000,,
layer_1__mean__a2t,0.0000,0.0000,,,0.0000,0.0000,,
layer_1__max__a2t,0.0000,0.0000,,,0.0000,0.0000,0.0000,
layer_2__mean__a2t,0.0000,0.0000,,,0.0000,0.0000,,
layer_2__max__a2t,0.0000,0.0000,0.0000,,0.0005,0.0005,0.3752,0.1939
layer_3__mean__a2t,0.0000,0.0000,,,0.0000,0.0000,,
layer_3__max__a2t,0.0001,0.0002,0.1224,0.1231,0.0000,0.0000,0.0000,
layer_4__mean__a2t,0.0000,0.0000,0.0000,,0.0000,0.0000,,
layer_4__max__a2t,0.0001,0.0001,0.0822,0.1210,0.0000,0.0000,1.0000,0.1429
layer_5__mean__a2t,0.0000,0.0000,0.2507,0.1051,0.0000,0.0000,,
layer_5__max__a2t,0.0008,0.0041,0.0841,0.2119,0.0005,0.0005,0.3095,0.1587
layer_6__mean__a2t,0.0005,0.0028,0.0680,0.1275,0.0000,0.0000,,
layer_6__max__a2t,0.0007,0.0055,0.0862,0.1680,0.0000,0.0000,,
layer_7__mean__a2t,0.0026,0.0044,0.5469,0.5683,0.0000,0.0000,,
layer_7__max__a2t,0.0020,0.0056,0.2185,0.4115,0.0000,0.0000,0.5000,0.0714
layer_8__mean__a2t,0.2854,0.4018,0.5051,0.4544,0.3848,0.4327,0.6512,0.5653
layer_8__max__a2t,0.2864,0.4058,0.4982,0.4540,0.4033,0.4611,0.6443,0.5769
layer_9__mean__a2t,0.0006,0.0010,0.1184,0.1175,0.0002,0.0002,0.1818,0.1289
layer_9__max__a2t,0.0033,0.0039,0.0988,0.1550,0.0053,0.0055,0.2280,0.1541
layer_10__mean__a2t,0.0009,0.0010,0.0901,0.1259,0.0005,0.0006,0.3107,0.1303
layer_10__max__a2t,0.0096,0.0114,0.0862,0.1579,0.0178,0.0190,0.2764,0.1554
layer_11__mean__a2t,0.0008,0.0011,0.6375,0.4133,0.0001,0.0001,0.8533,0.2381
layer_11__max__a2t,0.0035,0.0042,0.5776,0.2202,0.0088,0.0105,0.5434,0.2410
layer_12__mean__a2t,0.2843,0.3870,0.5152,0.4450,0.4053,0.4494,0.6476,0.5794
layer_12__max__a2t,0.2897,0.3993,0.5110,0.4485,0.4111,0.4598,0.6429,0.5823
layer_13__mean__a2t,0.2527,0.3466,0.4945,0.4162,0.3896,0.4372,0.6350,0.5683
