entry_id,mode,setup,base_lang,phrase_lang,n_phrases,quality_tier,audio_s,mWER,eWER,MER,mWER_unit,eWER_unit,matrix_units,embedded_units,LA_segment_per_wav,LID_conf_per_wav,SIM_whole,SIM_matrix,SIM_embedded_per_wav,success
syncs_E_to_K_3,moss_tts_v15,E_to_K,en,ko,4,S,35.92,0.2,0.016666666666666666,0.09568965517241379,WER,CER,50,66,1.0,0.9994215965270996,0.872711181640625,0.9387342929840088,0.6907920390367508,True
syncs_E_to_K_7,moss_tts_v15,E_to_K,en,ko,4,S,34.24,0.14814814814814814,0.039473684210526314,0.08642105263157894,WER,CER,54,71,1.0,0.9994852542877197,0.9182840585708618,0.9676072597503662,0.7229579389095306,True
syncs_E_to_K_11,moss_tts_v15,E_to_K,en,ko,4,S,35.52,0.24,0.0744047619047619,0.1395997375328084,WER,CER,50,77,0.75,0.9986494481563568,0.8978992700576782,0.954878568649292,0.7378951013088226,True
syncs_E_to_K_15,moss_tts_v15,E_to_K,en,ko,3,S,24.8,0.41509433962264153,0.041666666666666664,0.23381877022653721,WER,CER,53,50,1.0,0.9978506962458292,0.9224340915679932,0.9702550172805786,0.7209046284357706,True
syncs_E_to_K_19,moss_tts_v15,E_to_K,en,ko,3,S,38.08,0.532258064516129,0.1605392156862745,0.3663121498599439,WER,CER,62,50,1.0,0.999024490515391,0.8973860740661621,0.9717116951942444,0.6641245086987814,True
syncs_E_to_K_23,moss_tts_v15,E_to_K,en,ko,4,S,30.96,0.1951219512195122,0.033482142857142856,0.09484540343915343,WER,CER,41,67,1.0,0.9989088475704193,0.8917762637138367,0.9702707529067993,0.752445861697197,True
syncs_E_to_K_27,moss_tts_v15,E_to_K,en,ko,4,S,33.2,0.9787234042553191,0.17956349206349206,0.5241553808067569,WER,CER,47,62,0.75,0.9986305087804794,0.83352130651474,0.9377986788749695,0.7000620514154434,True
syncs_E_to_K_31,moss_tts_v15,E_to_K,en,ko,3,S,36.16,0.23728813559322035,0.023809523809523808,0.12790240062967337,WER,CER,59,62,1.0,0.9972835779190063,0.9305485486984253,0.9647605419158936,0.7749743064244589,True
syncs_E_to_K_35,moss_tts_v15,E_to_K,en,ko,3,S,28.08,0.82,0.08683473389355742,0.4534173669467787,WER,CER,50,50,1.0,0.8817723592122396,0.9526481628417969,0.9867746829986572,0.7589716712633768,True
syncs_E_to_K_39,moss_tts_v15,E_to_K,en,ko,4,S,28.72,0.0,0.0936532507739938,0.05025296382994789,WER,CER,57,66,0.75,0.9948853999376297,0.9283175468444824,0.9744502305984497,0.7183944135904312,True
